Municipality name;Official municipality code (AGS);Name of municipality ass.;Code of municipality associations (RS)
Kamern;15090285;Elbe-Havel-Land;150905052.0
Klietz;15090310;Elbe-Havel-Land;150905052.0
Osterburg (Altmark), Hansestadt;15090415;Osterburg (Altmark), Hansestadt;150900415.0
Rochau;15090435;Arneburg-Goldbeck;150905051.0
Sandau (Elbe), Stadt;15090445;Elbe-Havel-Land;150905052.0
Schollene;15090485;Elbe-Havel-Land;150905052.0
Schönhausen (Elbe);15090500;Elbe-Havel-Land;150905052.0
Seehausen (Altmark), Hansestadt;15090520;Seehausen (Altmark);150905053.0
Stendal, Hansestadt;15090535;Stendal, Hansestadt;150900535.0
Tangerhütte, Stadt;15090546;Tangerhütte, Stadt;150900546.0
Tangermünde, Stadt;15090550;Tangermünde, Stadt;150900550.0
Werben (Elbe), Hansestadt;15090610;Arneburg-Goldbeck;150905051.0
Wust-Fischbeck;15090631;Elbe-Havel-Land;150905052.0
Zehrental;15090635;Seehausen (Altmark);150905053.0
Annaburg, Stadt;15091010;Annaburg, Stadt;150910010.0
Bad Schmiedeberg, Stadt;15091020;Bad Schmiedeberg, Stadt;150910020.0
Coswig (Anhalt), Stadt;15091060;Coswig (Anhalt), Stadt;150910060.0
Gräfenhainichen, Stadt;15091110;Gräfenhainichen, Stadt;150910110.0
Jessen (Elster), Stadt;15091145;Jessen (Elster), Stadt;150910145.0
Kemberg, Stadt;15091160;Kemberg, Stadt;150910160.0
Oranienbaum-Wörlitz, Stadt;15091241;Oranienbaum-Wörlitz, Stadt;150910241.0
Wittenberg, Lutherstadt;15091375;Wittenberg, Lutherstadt;150910375.0
Zahna-Elster, Stadt;15091391;Zahna-Elster, Stadt;150910391.0
Erfurt, Stadt;16051000;Erfurt, Stadt;160510000.0
Gera, Stadt;16052000;Gera, Stadt;160520000.0
Jena, Stadt;16053000;Jena, Stadt;160530000.0
Suhl, Stadt;16054000;Suhl, Stadt;160540000.0
Weimar, Stadt;16055000;Weimar, Stadt;160550000.0
Eisenach, Stadt;16056000;Eisenach, Stadt;160560000.0
Arenshausen;16061001;Hanstein-Rusteberg;160615008.0
Asbach-Sickenberg;16061002;Uder;160615012.0
Berlingerode;16061003;Lindenberg/Eichsfeld;160615001.0
Birkenfelde;16061007;Uder;160615012.0
Bodenrode-Westhausen;16061012;Leinetal;160615009.0
Bornhagen;16061014;Hanstein-Rusteberg;160615008.0
Brehme;16061015;Lindenberg/Eichsfeld;160615001.0
Breitenworbis;16061017;Eichsfeld-Wipperaue;160615006.0
Büttstedt;16061018;Westerwald-Obereichsfeld;160615013.0
Buhla;16061019;Eichsfeld-Wipperaue;160615006.0
Burgwalde;16061021;Hanstein-Rusteberg;160615008.0
Dieterode;16061023;Ershausen/Geismar;160615014.0
Dietzenrode/Vatterode;16061024;Uder;160615012.0
Ecklingerode;16061026;Lindenberg/Eichsfeld;160615001.0
Effelder;16061027;Westerwald-Obereichsfeld;160615013.0
Eichstruth;16061028;Uder;160615012.0
Ferna;16061031;Lindenberg/Eichsfeld;160615001.0
Freienhagen;16061032;Hanstein-Rusteberg;160615008.0
Fretterode;16061033;Hanstein-Rusteberg;160615008.0
Geisleden;16061034;Leinetal;160615009.0
Geismar;16061035;Ershausen/Geismar;160615014.0
Gerbershausen;16061036;Hanstein-Rusteberg;160615008.0
Gernrode;16061037;Eichsfeld-Wipperaue;160615006.0
Glasehausen;16061039;Leinetal;160615009.0
Großbartloff;16061041;Westerwald-Obereichsfeld;160615013.0
Haynrode;16061044;Eichsfeld-Wipperaue;160615006.0
Heilbad Heiligenstadt, Stadt;16061045;Heilbad Heiligenstadt, Stadt;160610045.0
Heuthen;16061047;Leinetal;160615009.0
Hohengandern;16061048;Hanstein-Rusteberg;160615008.0
Hohes Kreuz;16061049;Leinetal;160615009.0
Kella;16061056;Ershausen/Geismar;160615014.0
Kirchgandern;16061057;Hanstein-Rusteberg;160615008.0
Kirchworbis;16061058;Eichsfeld-Wipperaue;160615006.0
Krombach;16061062;Ershausen/Geismar;160615014.0
Küllstedt;16061063;Westerwald-Obereichsfeld;160615013.0
Lenterode;16061065;Uder;160615012.0
Lindewerra;16061066;Hanstein-Rusteberg;160615008.0
Lutter;16061067;Uder;160615012.0
Mackenrode;16061068;Uder;160615012.0
